도서명,저자,출판사,출간일,가격
불편한 편의점,김호연,나무옆의자,2021년 04월,"12,600"
아버지의 해방일지,정지아,창비,2022년 09월,"13,500"
불편한 편의점 2,김호연,나무옆의자,2022년 08월,"12,600"
메리골드 마음 세탁소,윤정은,북로망스,2023년 03월,"13,500"
하얼빈,김훈,문학동네,2022년 08월,"14,400"
모순,양귀자,쓰다,2013년 04월,"11,700"
아주 희미한 빛으로도,최은영,문학동네,2023년 08월,"15,120"
달러구트 꿈 백화점 ,이미예,팩토리나인,2020년 07월,"12,420"
작별인사,김영하,복복서가,2022년 09월,"12,600"
"어서 오세요, 휴남동 서점입니다",황보름,클레이하우스,2022년 01월,"13,500"
이토록 평범한 미래,김연수,문학동네,2022년 10월,"12,600"
구의 증명,최진영,은행나무,2023년 04월,"10,800"
구의 증명,최진영,은행나무,2015년 03월,"7,200"
달러구트 꿈 백화점 2 (레인보우 에디션),이미예,팩토리나인,2021년 07월,"12,420"
파견자들,김초엽,퍼블리온,2023년 10월,"17,100"
비가 오면 열리는 상점,유영광,클레이하우스,2023년 06월,"15,120"
"칵테일, 러브, 좀비",조예은,안전가옥,2020년 04월,"9,000"
지구 끝의 온실,김초엽,자이언트북스,2021년 08월,"13,500"
밝은 밤,최은영,문학동네,2021년 07월,"13,950"
2023 제14회 젊은작가상 수상작품집,이미상,문학동네,2023년 04월,"6,930"
