BASE_YM,SIGNGU_NM,SIGNGU_CD,AVRG_INCOME_PRICE
202309,강원특별자치도 강릉시,51150,34650
202309,강원특별자치도 고성군,51820,31933
202309,강원특별자치도 동해시,51170,35029
202309,강원특별자치도 삼척시,51230,33474
202309,강원특별자치도 속초시,51210,34371
202309,강원특별자치도 양구군,51800,34606
202309,강원특별자치도 양양군,51830,33191
202309,강원특별자치도 영월군,51750,32758
202309,강원특별자치도 원주시,51130,35992
202309,강원특별자치도 인제군,51810,34368
202309,강원특별자치도 정선군,51770,33423
202309,강원특별자치도 철원군,51780,34129
202309,강원특별자치도 춘천시,51110,35396
202309,강원특별자치도 태백시,51190,34624
202309,강원특별자치도 평창군,51760,33581
202309,강원특별자치도 홍천군,51720,33685
202309,강원특별자치도 화천군,51790,33506
202309,강원특별자치도 횡성군,51730,33178
202309,경기도 가평군,41820,33608
202309,경기도 고양시 덕양구,41281,38117
202309,경기도 고양시 일산동구,41285,41554
202309,경기도 고양시 일산서구,41287,40766
202309,경기도 과천시,41290,49451
202309,경기도 광명시,41210,38182
202309,경기도 광주시,41610,36309
202309,경기도 구리시,41310,37469
202309,경기도 군포시,41410,37555
202309,경기도 김포시,41570,38867
202309,경기도 남양주시,41360,37222
202309,경기도 동두천시,41250,32131
202309,경기도 부천시,41190,35427
202309,경기도 성남시 분당구,41135,52322
202309,경기도 성남시 수정구,41131,35365
202309,경기도 성남시 중원구,41133,34809
202309,경기도 수원시 권선구,41113,37200
202309,경기도 수원시 영통구,41117,46607
202309,경기도 수원시 장안구,41111,36982
202309,경기도 수원시 팔달구,41115,35679
202309,경기도 시흥시,41390,35476
202309,경기도 안산시 단원구,41273,33806
202309,경기도 안산시 상록구,41271,34029
202309,경기도 안성시,41550,34550
202309,경기도 안양시 동안구,41173,42290
202309,경기도 안양시 만안구,41171,35778
202309,경기도 양주시,41630,34004
202309,경기도 양평군,41830,36243
202309,경기도 여주시,41670,34524
202309,경기도 연천군,41800,33759
202309,경기도 오산시,41370,37084
202309,경기도 용인시 기흥구,41463,42510
202309,경기도 용인시 수지구,41465,48177
202309,경기도 용인시 처인구,41461,35725
202309,경기도 의왕시,41430,40315
202309,경기도 의정부시,41150,34558
202309,경기도 이천시,41500,37580
202309,경기도 파주시,41480,37245
202309,경기도 평택시,41220,37314
202309,경기도 포천시,41650,32446
202309,경기도 하남시,41450,41712
202309,경기도 화성시,41590,42321
202309,경상남도 거제시,48310,38799
202309,경상남도 거창군,48880,33847
202309,경상남도 고성군,48820,33143
202309,경상남도 김해시,48250,36147
202309,경상남도 남해군,48840,31567
202309,경상남도 밀양시,48270,33057
202309,경상남도 사천시,48240,35056
202309,경상남도 산청군,48860,32616
202309,경상남도 양산시,48330,35703
202309,경상남도 의령군,48720,32541
202309,경상남도 진주시,48170,36381
202309,경상남도 창녕군,48740,32807
202309,경상남도 창원시 마산합포구,48125,34515
202309,경상남도 창원시 마산회원구,48127,34748
202309,경상남도 창원시 성산구,48123,40923
202309,경상남도 창원시 의창구,48121,36068
202309,경상남도 창원시 진해구,48129,36937
202309,경상남도 통영시,48220,33748
202309,경상남도 하동군,48850,32296
202309,경상남도 함안군,48730,33957
202309,경상남도 함양군,48870,32847
202309,경상남도 합천군,48890,32206
202309,경상북도 경산시,47290,32846
202309,경상북도 경주시,47130,34569
202309,경상북도 고령군,47830,32327
202309,경상북도 구미시,47190,37608
202309,경상북도 김천시,47150,35224
202309,경상북도 문경시,47280,33349
202309,경상북도 봉화군,47920,32825
202309,경상북도 상주시,47250,33109
202309,경상북도 성주군,47840,32399
202309,경상북도 안동시,47170,33997
202309,경상북도 영덕군,47770,31291
202309,경상북도 영양군,47760,32112
202309,경상북도 영주시,47210,34168
202309,경상북도 영천시,47230,32944
202309,경상북도 예천군,47900,35244
202309,경상북도 울릉군,47940,34211
202309,경상북도 울진군,47930,34907
202309,경상북도 의성군,47730,31397
202309,경상북도 청도군,47820,32334
202309,경상북도 청송군,47750,32392
202309,경상북도 칠곡군,47850,34930
202309,경상북도 포항시 남구,47111,37321
202309,경상북도 포항시 북구,47113,36568
202309,광주광역시 광산구,29200,36366
202309,광주광역시 남구,29155,37931
202309,광주광역시 동구,29110,36218
202309,광주광역시 북구,29170,35324
202309,광주광역시 서구,29140,37654
202309,대구광역시 군위군,27720,32023
202309,대구광역시 남구,27200,31755
202309,대구광역시 달서구,27290,35246
202309,대구광역시 달성군,27710,35753
202309,대구광역시 동구,27140,34515
202309,대구광역시 북구,27230,34389
202309,대구광역시 서구,27170,30767
202309,대구광역시 수성구,27260,42498
202309,대구광역시 중구,27110,36280
202309,대전광역시 대덕구,30230,34198
202309,대전광역시 동구,30110,31798
202309,대전광역시 서구,30170,37338
202309,대전광역시 유성구,30200,42064
202309,대전광역시 중구,30140,34745
202309,부산광역시 강서구,26440,40191
202309,부산광역시 금정구,26410,34675
202309,부산광역시 기장군,26710,36377
202309,부산광역시 남구,26290,36066
202309,부산광역시 동구,26170,32067
202309,부산광역시 동래구,26260,37773
202309,부산광역시 부산진구,26230,34009
202309,부산광역시 북구,26320,34614
202309,부산광역시 사상구,26530,32175
202309,부산광역시 사하구,26380,33462
202309,부산광역시 서구,26140,33331
202309,부산광역시 수영구,26500,35769
202309,부산광역시 연제구,26470,36574
202309,부산광역시 영도구,26200,31423
202309,부산광역시 중구,26110,30688
202309,부산광역시 해운대구,26350,40798
202309,서울특별시 강남구,11680,58103
202309,서울특별시 강동구,11740,39444
202309,서울특별시 강북구,11305,33100
202309,서울특별시 강서구,11500,38302
202309,서울특별시 관악구,11620,34344
202309,서울특별시 광진구,11215,36816
202309,서울특별시 구로구,11530,34982
202309,서울특별시 금천구,11545,33239
202309,서울특별시 노원구,11350,37257
202309,서울특별시 도봉구,11320,35025
202309,서울특별시 동대문구,11230,34450
202309,서울특별시 동작구,11590,38630
202309,서울특별시 마포구,11440,41036
202309,서울특별시 서대문구,11410,37330
202309,서울특별시 서초구,11650,59794
202309,서울특별시 성동구,11200,41867
202309,서울특별시 성북구,11290,38955
202309,서울특별시 송파구,11710,45819
202309,서울특별시 양천구,11470,42677
202309,서울특별시 영등포구,11560,38830
202309,서울특별시 용산구,11170,61475
202309,서울특별시 은평구,11380,36341
202309,서울특별시 종로구,11110,41344
202309,서울특별시 중구,11140,37921
202309,서울특별시 중랑구,11260,34154
202309,없음(세종시),36110,43077
202309,울산광역시 남구,31140,40294
202309,울산광역시 동구,31170,38096
202309,울산광역시 북구,31200,41826
202309,울산광역시 울주군,31710,37568
202309,울산광역시 중구,31110,38842
202309,인천광역시 강화군,28710,32986
202309,인천광역시 계양구,28245,34181
202309,인천광역시 남동구,28200,35229
202309,인천광역시 동구,28140,32885
202309,인천광역시 미추홀구,28177,33090
202309,인천광역시 부평구,28237,34714
202309,인천광역시 서구,28260,37397
202309,인천광역시 연수구,28185,42322
202309,인천광역시 옹진군,28720,32918
202309,인천광역시 중구,28110,36945
202309,전라남도 강진군,46810,32789
202309,전라남도 고흥군,46770,31164
202309,전라남도 곡성군,46720,32628
202309,전라남도 광양시,46230,38655
202309,전라남도 구례군,46730,32741
202309,전라남도 나주시,46170,35956
202309,전라남도 담양군,46710,34633
202309,전라남도 목포시,46110,34161
202309,전라남도 무안군,46840,35292
202309,전라남도 보성군,46780,31712
202309,전라남도 순천시,46150,37411
202309,전라남도 신안군,46910,31807
202309,전라남도 여수시,46130,37147
202309,전라남도 영광군,46870,34084
202309,전라남도 영암군,46830,33247
202309,전라남도 완도군,46890,32006
202309,전라남도 장성군,46880,33203
202309,전라남도 장흥군,46800,32889
202309,전라남도 진도군,46900,32315
202309,전라남도 함평군,46860,32789
202309,전라남도 해남군,46820,32125
202309,전라남도 화순군,46790,33498
202309,전라북도 고창군,45790,33488
202309,전라북도 군산시,45130,35183
202309,전라북도 김제시,45210,32322
202309,전라북도 남원시,45190,33423
202309,전라북도 무주군,45730,32324
202309,전라북도 부안군,45800,31857
202309,전라북도 순창군,45770,32854
202309,전라북도 완주군,45710,34590
202309,전라북도 익산시,45140,34151
202309,전라북도 임실군,45750,32461
202309,전라북도 장수군,45740,32753
202309,전라북도 전주시 덕진구,45113,37067
202309,전라북도 전주시 완산구,45111,36517
202309,전라북도 정읍시,45180,33388
202309,전라북도 진안군,45720,32526
202309,제주특별자치도 서귀포시,50130,35810
202309,제주특별자치도 제주시,50110,35254
202309,충청남도 계룡시,44250,40164
202309,충청남도 공주시,44150,33297
202309,충청남도 금산군,44710,32284
202309,충청남도 논산시,44230,32927
202309,충청남도 당진시,44270,37959
202309,충청남도 보령시,44180,34128
202309,충청남도 부여군,44760,32077
202309,충청남도 서산시,44210,38131
202309,충청남도 서천군,44770,31999
202309,충청남도 아산시,44200,38426
202309,충청남도 예산군,44810,33831
202309,충청남도 천안시 동남구,44131,35023
202309,충청남도 천안시 서북구,44133,39439
202309,충청남도 청양군,44790,32656
202309,충청남도 태안군,44825,33392
202309,충청남도 홍성군,44800,35468
202309,충청북도 괴산군,43760,32159
202309,충청북도 단양군,43800,32608
202309,충청북도 보은군,43720,32850
202309,충청북도 영동군,43740,33008
202309,충청북도 옥천군,43730,32355
202309,충청북도 음성군,43770,33132
202309,충청북도 제천시,43150,34439
202309,충청북도 증평군,43745,34757
202309,충청북도 진천군,43750,35464
202309,충청북도 청주시 상당구,43111,36326
202309,충청북도 청주시 서원구,43112,36089
202309,충청북도 청주시 청원구,43114,37483
202309,충청북도 청주시 흥덕구,43113,38934
202309,충청북도 충주시,43130,34394
