행정구역(시군구)별,2023.1,2023.1,2023.1
행정구역(시군구)별,총인구수 (명),남자인구수 (명),여자인구수 (명)
전국,51354226,25582773,25771453
서울,9400249,4548150,4852099
부산,3298213,1608156,1690057
대구,2376978,1168087,1208891
인천,2990276,1495744,1494532
광주,1421760,702121,719639
대전,1443965,720207,723758
울산,1104031,567309,536722
세종,386079,192299,193780
경기,13627840,6855616,6772224
강원,1529500,769433,760067
충북,1594211,810820,783391
충남,2128563,1090461,1038102
전북,1757295,874659,882636
전남,1805823,910179,895644
경북,2558085,1292163,1265922
경남,3255239,1638978,1616261
제주,676119,338391,337728
